Station Carrefour ID,Date,Enseigne Concurrente,Produit,Inférieur,Supérieur,Égal
38150001,2024-04-23,Géant,GPLc,0,2,0
94430003,2024-04-12,CORA,GPLc,0,1,0
38150001,2024-01-22,Leclerc,GPLc,0,1,0
29300004,2024-05-26,Intermarché,GPLc,1,0,1
69200001,2024-04-12,Esso,GPLc,0,1,0
59160002,2024-02-15,Total Access,GPLc,1,4,0
34600001,2024-03-20,Leclerc,GPLc,0,0,1
30900002,2024-04-28,Total Access,GPLc,0,0,2
31170001,2024-04-21,Systéme U,GPLc,1,2,0
78120003,2024-01-09,Total Access,GPLc,0,5,0
13741001,2024-05-05,Total Access,GPLc,7,0,0
